id_empresa,riesgo_sector,anos_operando,ratio_mora,ratio_utilizacion,crecimiento_ventas,margen_beneficio,score_buro,default_12m,pd_verdadera
1,0.7739560485559633,16,0.34868401452968195,0.09417734788764953,-0.1453269260293477,0.09278404031672854,676.8556219088224,0,0.12536554310123368
1,0.7739560485559633,16,0.22519296894778357,0.37079802423258124,0.16666879031434223,0.0866030697561216,691.2904599019386,0,0.06848751151821278
1,0.7739560485559633,16,0.11361936089238844,0.5545847870158348,-0.09383239012434984,0.16784503013072727,679.5187887223957,0,0.06855092932005659
1,0.7739560485559633,16,0.17726298406493418,0.9706980243949033,0.02682057768967968,0.037167217783689276,676.496712327376,0,0.11773612470335498
1,0.7739560485559633,16,0.02190188289361439,0.15428949206754783,0.1146231504511824,0.2941647600870461,675.9538976684121,0,0.035336115999064235
2,0.3704597060348689,11,0.09473567954214285,0.12992150533547164,-0.0760234715443792,-0.002448121569123954,681.1451047812668,0,0.034853344137707125
2,0.3704597060348689,11,0.4163390980289187,0.7002651020022491,0.13147314024577925,0.013449029271130564,676.960790133687,0,0.10764198383091868
2,0.3704597060348689,11,0.14416405196512205,0.6824955039749755,0.08353933231620234,0.1478913563071895,675.3149675979087,0,0.04371993148689188
2,0.3704597060348689,11,0.33242542829601607,0.7051653786263351,0.0020493175464048052,0.03296273457072045,668.2503984205864,0,0.10389299621605103
2,0.3704597060348689,11,0.05726503676798672,0.6684029617904717,0.1952417531887221,-0.08828697716158047,671.290326603162,0,0.04861064109997283
3,0.5535794006579958,3,0.015408917283969703,0.43671738923236236,0.1786963821885731,0.060869567511838515,668.9770261746178,0,0.058499932573253345
3,0.5535794006579958,3,0.02915137084453301,0.28138389202199654,0.07136386041058479,0.14904853540677682,677.4613629446317,0,0.04465197613315797
3,0.5535794006579958,3,0.33215677016369377,0.4063868614400705,0.11851628563361172,0.013807405893334873,678.1033509423463,0,0.12728129511650876
3,0.5535794006579958,3,0.36117967529822514,0.4618772302513874,-0.02041035103040857,0.08124941187276874,686.5413559970561,0,0.11806743833069988
3,0.5535794006579958,3,0.22307813778701535,0.3810212260964825,-0.013494746806623062,0.0720281789093601,664.8605450684167,0,0.11695344548026985
4,0.11800590212051532,14,0.4542903453538035,0.6997071338107496,-0.006724383105908449,0.20992282977860655,606.5474871853265,0,0.19564555581070572
4,0.11800590212051532,14,0.22468075107189434,0.272241561845159,-0.09250330823658719,0.046096692409943754,618.5132082705147,0,0.09389460397455614
4,0.11800590212051532,14,0.15297831207532625,0.579219568941896,-0.03912249335451916,-0.06460578543884547,610.8314219730795,0,0.11551532422818246
4,0.11800590212051532,14,0.21604651988755186,0.6273088407024432,0.2902668336981373,0.05606443725269757,599.8751519697221,0,0.1246703692755274
4,0.11800590212051532,14,0.02080708693094624,0.49399081924451893,0.17526668688718677,0.11568710591495093,624.7431558081364,0,0.041862588800187284
5,0.1705929685368861,8,0.17343490226741853,0.5909154914814168,0.016666595435184,-0.06708062945026579,624.2518170616938,0,0.12176724024245157
5,0.1705929685368861,8,0.041364999961219284,0.48665833083816035,0.4870793699010994,0.12144094332759964,624.5122266734506,0,0.049862592985285316
5,0.1705929685368861,8,0.1334878315459468,0.3315689973425522,-0.012303589026952791,0.018790320094019194,632.9996990096055,0,0.07484141655066319
5,0.1705929685368861,8,0.44808038591988336,0.14024908899861077,-0.10534806292387174,-0.0874682944704357,629.544528783036,0,0.19917438556903536
